B;C;D;E;F;G;H;I;J;K;L;M;N
TIME DAYY;DATE;MONTH;YEAR;DAY;DISTRICT;TYPES_OF_CAUSES;ALERT LEVEL;AMOUNT_DAMAGE;TEMPERATURE;TYPE_OF_ESTABLIHMENT;LATITUDE;LONGITUDE
12AM;40544;JANUARY;2011;Saturday;Sampaloc;Firecracker;3rd Alarm;100,000.00;27;Residential;14.612296;120.994551
12AM;40544;JANUARY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Residential;14.589704;121.022958
2AM;40544;JANUARY;2011;Saturday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;27;Residential;14.597632;121.017609
8AM;40544;JANUARY;2011;Saturday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;8,000.00;27;Residential;14.588391;120.968970
8AM;40544;JANUARY;2011;Saturday;Ermita;Electrical connection;1st Alarm;5,000.00;27;Vehicle;14.582550;120.984621
10AM;40544;JANUARY;2011;Saturday;Ermita;Under Investigation;2nd Alarm;100,000.00;27;Unclear;14.586074;120.982515
11AM;40544;JANUARY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;1,000.00;27;Vehicle;14.610556;120.998333
9AM;40546;JANUARY;2011;Monday;Paco;Electrical connection;1st Alarm;200.00;24.33;Residential;14.567711;120.989591
3PM;40546;JANUARY;2011;Monday;Sampaloc;Cigarette Butt;1st Alarm;200.00;24.33;Rubbish;14.607747;120.995048
7AM;40547;JANUARY;2011;Tuesday;Sampaloc;Arson;1st Alarm;500.00;21;Commercial;14.598660;121.017284
1PM;40547;JANUARY;2011;Tuesday;Sampaloc;Cigarette Butt;1st Alarm;200.00;21;Rubbish;14.607773;120.988392
9PM;40547;JANUARY;2011;Tuesday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;21;Residential;14.589527;120.957515
4AM;40549;JANUARY;2011;Thursday;Tondo;Cigarette Butt;1st Alarm;200.00;21;Rubbish;14.614996;120.978817
8PM;40550;JANUARY;2011;Friday;Tondo;Electrical connection;1st Alarm;200.00;22.11;Residential;14.618564;120.965392
8PM;40551;JANUARY;2011;Saturday;Port Area;Under Investigation;3rd Alarm;5,000.00;24.5;Vehicle;14.588726;120.968597
8AM;40552;JANUARY;2011;Sunday;Pandacan;Cigarette Butt;1st Alarm;200.00;23;Rubbish;14.472234;121.027931
9AM;40552;JANUARY;2011;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;23;Electrical;14.664390;120.943592
12PM;40552;JANUARY;2011;Sunday;Santa Ana;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;23;Residential;14.472234;121.027931
10AM;40552;JANUARY;2011;Sunday;Santa Cruz;Candle;1st Alarm;500.00;23;Residential;14.618105;120.981840
5PM;40553;JANUARY;2011;Monday;Ermita;Cigarette Butt;1st Alarm;1,000.00;24.66;Commercial;14.576489;120.988073
8PM;40553;JANUARY;2011;Monday;Tondo;Electrical connection;1st Alarm;5,000.00;24.66;Vehicle;14.620565;120.965967
8AM;40554;JANUARY;2011;Tuesday;Tondo;Cigarette Butt;1st Alarm;200.00;25.5;Rubbish;14.618213;120.967315
10PM;40554;JANUARY;2011;Tuesday;Tondo;Candle;1st Alarm;200.00;25.5;Residential;14.620565;120.965967
7AM;40556;JANUARY;2011;Thursday;Quiapo;Other;1st Alarm;5,000.00;24;Commercial;14.598320;120.983771
2AM;40557;JANUARY;2011;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;26.5;Residential;14.603199;121.002242
4PM;40557;JANUARY;2011;Friday;San Miguel;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;5,000.00;26.5;Vehicle;14.599512;120.984220
9PM;40557;JANUARY;2011;Saturday;San Miguel;Electrical connection;1st Alarm;200.00;26.5;Electrical;14.601917;121.000065
2AM;40558;JANUARY;2011;Saturday;Sampaloc;Under Investigation;5th Alarm;500,000.00;27.75;Residential;14.619553;120.997001
8AM;40558;JANUARY;2011;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;27.75;Electrical;14.589567;121.018860
8AM;40561;JANUARY;2011;Tuesday;Sampaloc;Cigarette Butt;1st Alarm;200.00;26;Rubbish;14.612579;120.966012
10AM;40561;JANUARY;2011;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;26;Residential;14.622616;120.988216
2PM;40561;JANUARY;2011;Tuesday;Santa Cruz;Under Investigation;4th Alarm;300,000.00;26;Commercial;14.580546;121.012283
4PM;40561;JANUARY;2011;Tuesday;Santa Ana;Electrical connection;1st Alarm;200.00;26;Electrical;14.472234;121.027931
6PM;40563;JANUARY;2011;Thursday;Santa Ana;Candle;1st Alarm;1,000.00;26.5;Residential;14.591050;121.008068
7AM;40564;JANUARY;2011;Friday;Pandacan;Under Investigation;3rd Alarm;5,000.00;26.33;Residential;14.613784;120.966811
1PM;40564;JANUARY;2011;Friday;Tondo;Under Investigation;1st Alarm;7,000.00;26.33;Vehicle;14.606015;120.989127
3PM;40564;JANUARY;2011;Friday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;3rd Alarm;50,000.00;26.33;Residential;14.601735;120.977330
11AM;40565;JANUARY;2011;Saturday;Santa Cruz;Electrical connection;1st Alarm;200.00;26.75;Electrical;14.605342;120.970070
2PM;40565;JANUARY;2011;Saturday;Binondo;Electrical connection;1st Alarm;200.00;26.75;Residential;14.599512;120.984220
5PM;40565;JANUARY;2011;Saturday;San Andres;Matress Fire;1st Alarm;200.00;26.75;Residential;14.572552;120.987490
7PM;40565;JANUARY;2011;Saturday;Malate;Electrical connection;1st Alarm;200.00;26.75;Electrical;14.575390;121.000470
12PM;40566;JANUARY;2011;Sunday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Electrical;14.582518;120.984921
11AM;40568;JANUARY;2011;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;26;Electrical;14.619445;120.968973
9PM;40569;JANUARY;2011;Wednesday;Tondo;Candle;1st Alarm;200.00;26.5;Residential;14.620565;120.965967
12PM;40570;JANUARY;2011;Thursday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;23;Residential;14.610556;120.998333
8AM;40571;JANUARY;2011;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;24.25;Electrical;14.616921;120.994113
1PM;40572;JANUARY;2011;Saturday;Sampaloc;Under Investigation;4th Alarm;500,000.00;23.5;Residential;14.615543;120.983680
7PM;40572;JANUARY;2011;Saturday;Santa Cruz;Open flame;1st Alarm;200.00;23.5;Rubbish;14.591050;121.008068
11PM;40572;JANUARY;2011;Saturday;Pandacan;Electrical connection;1st Alarm;200.00;23.5;Electrical;14.567839;120.997706
7PM;40573;JANUARY;2011;Sunday;Paco;Cigarette Butt;1st Alarm;200.00;23;Rubbish;14.613303;120.989467
2AM;40574;JANUARY;2011;Monday;Sampaloc;Candle;1st Alarm;500.00;25;Residential;14.594271;120.988270
4PM;40574;JANUARY;2011;Monday;San Miguel;Open flame;1st Alarm;200.00;25;Chemical;14.604204;120.996922
5PM;40574;JANUARY;2011;Monday;Santa Cruz;Electrical connection;1st Alarm;200.00;25;Electrical;14.599000;120.980400
10PM;40574;JANUARY;2011;Monday;Santa Cruz;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;25;Residential;14.599001;120.980401
2PM;40575;FEBRUARY;2011;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;24.75;Residential;14.610556;120.998333
4PM;40575;FEBRUARY;2011;Tuesday;Santa Cruz;Under Investigation;3rd Alarm;5,000.00;24.75;ReCom;14.599512;120.984220
10AM;40576;FEBRUARY;2011;Wednesday;Quiapo;Electrical connection;1st Alarm;200.00;23;Residential;14.576588;120.992589
