date,cause,alarm,temp,type,district
1PM_12-Mar-11,Electrical_connection,1st_Alarm,24,Electrical,Intramuros
4PM_18-May-11,Electrical_connection,1st_Alarm,31,Electrical,Intramuros
8AM_18-Jun-11,Under_Investigation,4th_Alarm,27,Unclear,Intramuros
3AM_28-Sep-11,Electrical_connection,1st_Alarm,27,Residential,Intramuros
7PM_29-Sep-11,Electrical_Appliances,1st_Alarm,28,Electrical,Intramuros
10AM_10-Nov-11,Electrical_connection,1st_Alarm,30,Electrical,Intramuros
9PM_11-Nov-11,Gas,1st_Alarm,30,Electrical,Intramuros
9PM_11-Nov-11,LPG_Leak,1st_Alarm,30,Electrical,Intramuros
9PM_11-Nov-11,Keresone,1st_Alarm,30,Electrical,Intramuros
9PM_11-Nov-11,Charcoal_Stove,1st_Alarm,30,Electrical,Intramuros
12AM_13-Nov-11,Electrical_connection,1st_Alarm,29,Electrical,Intramuros
5PM_24-Nov-11,Under_Investigation,2nd_Alarm,27,Electrical,Intramuros
6PM_27-Nov-11,Electrical_connection,1st_Alarm,28,Electrical,Intramuros
3PM_14-Feb-12,Electrical_connection,1st_Alarm,28,Electrical,Intramuros
8AM_25-Feb-12,Matress_Fire,1st_Alarm,28,Residential,Intramuros
11PM_9-Mar-12,Electrical_Appliances,1st_Alarm,29,unclear,Intramuros
7PM_16-Mar-12,Electrical_connection,1st_Alarm,28,Vehicle,Intramuros
12PM_11-Jul-12,Cigarette_Butt,1st_Alarm,29,Rubbish,Intramuros
10PM_29-Oct-12,Electrical_connection,1st_Alarm,28,unclear,Intramuros
7PM_23-Nov-12,Electrical_connection,1st_Alarm,29,Electrical,Intramuros
2AM_2-Dec-12,Electrical_connection,1st_Alarm,27,Electrical,Intramuros
11AM_30-Jan-13,LPG_Leak,1st_Alarm,26,ReCom,Intramuros
11AM_30-Jan-13,Gas,1st_Alarm,26,ReCom,Intramuros
11AM_30-Jan-13,Keresone,1st_Alarm,26,ReCom,Intramuros
11AM_30-Jan-13,Charcoal_Stove,1st_Alarm,26,ReCom,Intramuros
3PM_7-Feb-13,Under_Investigation,2nd_Alarm,27,Residential,Intramuros
8AM_18-Feb-13,LPG_Leak,1st_Alarm,29,Residential,Intramuros
8AM_18-Feb-13,Gas,1st_Alarm,29,Residential,Intramuros
8AM_18-Feb-13,Keresone,1st_Alarm,29,Residential,Intramuros
8AM_18-Feb-13,Charcoal_Stove,1st_Alarm,29,Residential,Intramuros
7PM_3-Apr-13,Electrical_connection,1st_Alarm,30,Electrical,Intramuros
7AM_7-May-13,Electrical_connection,1st_Alarm,31,unclear,Intramuros
12PM_22-May-13,Cigarette_Butt,1st_Alarm,31,Rubbish,Intramuros
12PM_23-May-13,Electrical_connection,1st_Alarm,31,Electrical,Intramuros
2PM_20-Jul-13,LPG_Leak,1st_Alarm,27,Commercial,Intramuros
2PM_20-Jul-13,Gas,1st_Alarm,27,Commercial,Intramuros
2PM_20-Jul-13,Keresone,1st_Alarm,27,Commercial,Intramuros
2PM_20-Jul-13,Charcoal_Stove,1st_Alarm,27,Commercial,Intramuros
12PM_5-Oct-13,Electrical_connection,1st_Alarm,29,unclear,Intramuros
1PM_15-Oct-13,Air_conditioned_Fire,1st_Alarm,28,unclear,Intramuros
1PM_15-Oct-13,Air_cooler,1st_Alarm,28,unclear,Intramuros
1PM_15-Oct-13,Fan,1st_Alarm,28,unclear,Intramuros
5PM_23-Oct-13,Under_Investigation,1st_Alarm,27,Commercial,Intramuros
10AM_13-Feb-14,Open_flame,1st_Alarm,26,unclear,Intramuros
4PM_14-Feb-14,Electrical_connection,1st_Alarm,26,Residential,Intramuros
