date,cause,temp,district
12AM 1-Jan-11,Firecracker,27,Sampaloc
12AM 1-Jan-11,Electrical connection,27,Sampaloc
2AM 1-Jan-11,"LPG Leak, Gas, Keresone, Charcoal Stove",27,Sampaloc
8AM 1-Jan-11,"LPG Leak, Gas, Keresone, Charcoal Stove",27,Tondo
8AM 1-Jan-11,Electrical connection,27,Ermita
10AM 1-Jan-11,Under Investigation,27,Ermita
11AM 1-Jan-11,Electrical connection,27,Sampaloc
9AM 3-Jan-11,Electrical connection,24.33,Paco
3PM 3-Jan-11,Cigarette Butt,24.33,Sampaloc
7AM 4-Jan-11,Arson,21,Sampaloc
1PM 4-Jan-11,Cigarette Butt,21,Sampaloc
9PM 4-Jan-11,"LPG Leak, Gas, Keresone, Charcoal Stove",21,Tondo
4AM 6-Jan-11,Cigarette Butt,21,Tondo
8PM 7-Jan-11,Electrical connection,22.11,Tondo
8PM 8-Jan-11,Under Investigation,24.5,Port Area
8AM 9-Jan-11,Cigarette Butt,23,Pandacan
9AM 9-Jan-11,Electrical connection,23,Sampaloc
12PM 9-Jan-11,"LPG Leak, Gas, Keresone, Charcoal Stove",23,Santa Ana
10AM 9-Jan-11,Candle,23,Santa Cruz
5PM 10-Jan-11,Cigarette Butt,24.66,Ermita
8PM 10-Jan-11,Electrical connection,24.66,Tondo
8AM 11-Jan-11,Cigarette Butt,25.5,Tondo
10PM 11-Jan-11,Candle,25.5,Tondo
7AM 13-Jan-11,Other,24,Quiapo
2AM 14-Jan-11,Electrical connection,26.5,Sampaloc
4PM 14-Jan-11,"LPG Leak, Gas, Keresone, Charcoal Stove",26.5,San Miguel
9PM 14-Jan-11,Electrical connection,26.5,San Miguel
2AM 15-Jan-11,Under Investigation,27.75,Sampaloc
8AM 15-Jan-11,Electrical connection,27.75,Sampaloc
8AM 18-Jan-11,Cigarette Butt,26,Sampaloc
10AM 18-Jan-11,Electrical connection,26,Tondo
2PM 18-Jan-11,Under Investigation,26,Santa Cruz
4PM 18-Jan-11,Electrical connection,26,Santa Ana
6PM 20-Jan-11,Candle,26.5,Santa Ana
7AM 21-Jan-11,Under Investigation,26.33,Pandacan
1PM 21-Jan-11,Under Investigation,26.33,Tondo
3PM 21-Jan-11,Air-conditioned Fire/Air-cooler/Fan,26.33,Sampaloc
11AM 22-Jan-11,Electrical connection,26.75,Santa Cruz
2PM 22-Jan-11,Electrical connection,26.75,Binondo
5PM 22-Jan-11,Matress Fire,26.75,San Andres
7PM 22-Jan-11,Electrical connection,26.75,Malate
12PM 23-Jan-11,Electrical connection,27,Santa Ana
11AM 25-Jan-11,Electrical connection,26,Ermita
9PM 26-Jan-11,Candle,26.5,Tondo
12PM 27-Jan-11,"LPG Leak, Gas, Keresone, Charcoal Stove",23,Tondo
8AM 28-Jan-11,Electrical connection,24.25,Sampaloc
1PM 29-Jan-11,Under Investigation,23.5,Sampaloc
7PM 29-Jan-11,Open flame,23.5,Santa Cruz
11PM 29-Jan-11,Electrical connection,23.5,Pandacan
7PM 30-Jan-11,Cigarette Butt,23,Paco
2AM 31-Jan-11,Candle,25,Sampaloc
4PM 31-Jan-11,Open flame,25,San Miguel
5PM 31-Jan-11,Electrical connection,25,Santa Cruz
10PM 31-Jan-11,Air-conditioned Fire/Air-cooler/Fan,25,Santa Cruz
2PM 1-Feb-11,Electrical connection,24.75,Sampaloc
4PM 1-Feb-11,Under Investigation,24.75,Santa Cruz
10AM 2-Feb-11,Electrical connection,23,Quiapo
1PM 2-Feb-11,Candle,23,Sampaloc
6PM 2-Feb-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",23,Tondo
3AM 3-Feb-11,Under Investigation,24.66,Tondo
4AM 3-Feb-11,Under Investigation,24.66,Santa Cruz
12PM 3-Feb-11,Candle,24.66,Sampaloc
5PM 3-Feb-11,Under Investigation,24.66,Santa Cruz
5AM 4-Feb-11,Under Investigation,26.25,Sampaloc
7AM 4-Feb-11,Electrical connection,26.25,Sampaloc
12PM 5-Feb-11,Electrical connection,27,Paco
8PM 5-Feb-11,Electrical connection,27,Paco
2AM 7-Feb-11,Electrical connection,26.66,Paco
3PM 7-Feb-11,Cigarette Butt,26.66,Tondo
9AM 8-Feb-11,Cigarette Butt,25.5,Sampaloc
4PM 8-Feb-11,Electrical connection,25.5,Sampaloc
9AM 10-Feb-11,Electrical connection,28.33,Tondo
9PM 10-Feb-11,Candle,28.33,Tondo
9PM 11-Feb-11,Electrical connection,28.75,Tondo
12AM 12-Feb-11,Electrical connection,25,Sampaloc
12PM 12-Feb-11,Air-conditioned Fire/Air-cooler/Fan,25,Tondo
6PM 12-Feb-11,Electrical connection,25,Tondo
8PM 12-Feb-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",25,Sampaloc
2AM 13-Feb-11,Electrical connection,25.33,San Miguel
1PM 13-Feb-11,Under Investigation,25.33,Sampaloc
6PM 14-Feb-11,Matress Fire,25.33,Tondo
6PM 14-Feb-11,Cigarette Butt,25.33,Santa Cruz
8PM 15-Feb-11,Electrical connection,26.33,Sampaloc
8AM 17-Feb-11,Air-conditioned Fire/Air-cooler/Fan,26.25,Sampaloc
9AM 17-Feb-11,Electrical connection,26.25,Sampaloc
11AM 17-Feb-11,Air-conditioned Fire/Air-cooler/Fan,26.25,Quiapo
8PM 17-Feb-11,Electrical connection,26.25,Sampaloc
1PM 18-Feb-11,Electrical connection,24.33,San Miguel
6PM 19-Feb-11,Electrical connection,23.5,Tondo
10PM 19-Feb-11,Under Investigation,23.5,Tondo
6AM 20-Feb-11,Air-conditioned Fire/Air-cooler/Fan,26,Santa Ana
4PM 20-Feb-11,Under Investigation,26,Tondo
7PM 20-Feb-11,Electrical connection,26,Santa Ana
10AM 21-Feb-11,Cigarette Butt,23.5,Tondo
10AM 21-Feb-11,"LPG Leak, Gas, Keresone, Charcoal Stove",23.5,Sampaloc
5PM 21-Feb-11,Electrical connection,23.5,Binondo
